ID-site;Archipelago;Island;Site;Latitude;Longitude
MOO1;Society;Moorea;1;-17.477183;-149.851117
MOO2;Society;Moorea;2;-17.4773;-149.7596
BOR1;Society;Bora Bora;1;-16.5031;-151.790683
BOR2;Society;Bora Bora;2;-16.50325;-151.753617
TIK1;Tuamotu;Tikehau;1;-15.017333;-148.28675
TIK2;Tuamotu;Tikehau;2;-14.964083;-148.267117
RAN1;Tuamotu;Rangiroa;1;-14.9803;-147.61315
RAN2;Tuamotu;Rangiroa;2;-14.997633;-147.584317
RAR1;Tuamotu;Raroia;1;-16.005167;-142.4517
RAR2;Tuamotu;Raroia;2;-16.0231;-142.463267
TAH1;Marquises;Tahuata;1;-9.942117;-139.119467
TAH2;Marquises;Tahuata;2;-9.936733;-139.131483
HIV1;Marquises;Hiva Hoa;1;-9.860067;-139.044333
HIV2;Marquises;Hiva Hoa;1;-9.808533;-138.984583
FAT1;Marquises;Fatu Hiva;1;-10.471733;-138.67835
FAT2;Marquises;Fatu Hiva;2;-10.4883;-138.67695
MAN1;Gambier;Mangareva;1;-23.07305;-135.016217
MAN2;Gambier;Mangareva;2;-23.001017;-134.960517
RAI1;Australe;Raivavae;1;-23.85565;-147.71875
RAI2;Australe;Raivavae;2;-23.829867;-147.620267
MAK1;Tuamotu;Makatea;1;-15.825933;-148.279667
MAK2;Tuamotu;Makatea;2;-15.82305;-148.2793
TAHITI1;Society;Tahiti;1;-17.542187;-149.618763
TAHITI2;Society;Tahiti;2;-17.629518;-149.621022