Island_Site;Year;Acanthastrea;Acropora;Astrea;Astreopora;Cyphastrea;Dipsastrea;Fungia;Gardineroseris;Goniastrea;Herpolitha;Leptastrea;Leptoria;Leptoseris;Lobophyllia;Millepora;Montipora;Napopora;Others;Pavona;Platygyra;Pocillopora;Porites;Psammocora;Sandalolitha;Period
MOOREA;1994;0;9.259;0.6165;0;0;0;0.4925;0.0615;0.123;0;0;0;0;0;0;1.789;0;0.0615;0.1845;0;10.001;1.17225;0;0;1st_Period
MOOREA;2004;0.0615;14.752;0.308;0;0;0;1.603;0;0.494;0.431;0.308;0;0.493;0;0;0.185;0.0615;0.431;0.924;0;17.0365;3.209;0;0.0615;2nd_Period
MOOREA;2016;0;1.4795;0.1845;0;0;0;0.0615;0;0;0;0.0615;0;0;0;0;1.851;0.0615;0;0.1845;0;27.099;0.678;0;0;3rd_Period
RAIATEA;1994;0;3.456;0;0;0;0;0;0;0;0;0.123;0;0;0;0.0615;0.5545;0;2.036;0;0;1.9745;0.0615;0;0;1st_Period
RAIATEA;2004;0;6.728;0.123;0;0;0;0.493;0;0;0;0.37;0;0;0;0;0.554;0;0.1845;0.5555;0;14.876;2.0975;0.1845;0;2nd_Period
RAIATEA;2016;0;1.048;0.8015;0;0;0.1845;0.246;0;0;0;0.1235;0;0;0.0615;0.0615;0.924;0.123;0.432;1.1095;0;12.47;1.1705;0.123;0;3rd_Period
TAHITI;1994;0;5.7405;0.616;0;0;0;0.616;0;0.123;0.0615;0;0;0;0;0.185;1.419;0.0615;0.0615;0.617;0;8.8895;0.493;0;0.0615;1st_Period
TAHITI;2005;0;3.5795;0.2465;0.0615;0;0;1.233;0;0;0.0615;1.4805;0;0;0;0.0615;0.246;0;0.554;0.9245;0;14.63;2.22175;0.0615;0.1235;2nd_Period
TAHITI;2017;0;2.9005;0.5545;0;0;0;0.185;0;0.0615;0;0.246;0;0.0615;0;0;3.518;0;0.493;0.616;0;26.543;0.8945;0;0;3rd_Period
TETIAROA;1994;0;0.9255;0.2465;36.852;0;0.925;0.0615;0;0;0;0.185;0;0;0;0;0.493;0;1.1715;0.4935;0;6.8505;0.37;0;0.0615;1st_Period
TETIAROA;2005;0;0.0615;0.863;21.482;0;0.123;0;0;0;0;0.0615;0;0;0;0;0.3075;0;0.3695;0.3085;0;1.1715;1.11;0;0;2nd_Period
TETIAROA;2017;0;0.185;1.9745;0.493;0;0.123;0;0;0;0;0.1845;0;0;0;0;2.036;0;0.308;0.986;0;5.617;0.3085;0.0615;0;3rd_Period
TIKEHAU;1994;0.987;1.3565;0.123;0.123;0;0.123;0.123;0;0;0;0.185;0;0;0;0;2.0975;0;1.047;0.0615;0;32.6545;0.6775;0;0;1st_Period
TIKEHAU;2004;0;0.679;0.2465;0.616;0;0.3695;0;0;0;0;0.74;0;0.185;0;0;0.123;0;0.0615;0;0.1845;15.8025;3.9495;0;0;2nd_Period
TIKEHAU;2016;0.0615;1.7895;0.3695;1.4185;0;0.493;0;0;0;0;0.1845;0;0.1845;0;0;0.0615;0;0.0615;0.0615;0;7.715;4.9375;0;0;3rd_Period