Comparisons;Depth1;Depth2;Jaccard;Jaccard_Site;Turnover_Jac;Turnover_Jac_Site;Pturn_Jac;Pturn_Jac_Site;Bray;Bray_Site;Turnover_Bray;Tunover_Bray_Site;Pturn_Bray;Pturn_Bray_Site
6_20;6;20;0.62;0.39;0.38;0.1;0.57;0.28;0.63;0.47;0.48;0.34;0.71;0.7
6_40;6;40;0.78;0.5;0.64;0.22;0.79;0.41;0.85;0.77;0.75;0.64;0.87;0.84
6_60;6;60;0.86;0.56;0.79;0.35;0.91;0.59;0.93;0.86;0.86;0.76;0.91;0.87
6_90;6;90;0.96;0.82;0.92;0.72;0.95;0.88;0.98;0.95;0.96;0.91;0.97;0.96
6_120;6;120;0.97;0.93;0.94;0.73;0.95;0.77;0.98;0.97;0.97;0.94;0.98;0.97
20_6;20;6;0.62;0.39;0.38;0.1;0.57;0.28;0.63;0.47;0.5;0.34;0.71;0.7
20_40;20;40;0.72;0.31;0.55;0.2;0.74;0.64;0.8;0.65;0.67;0.49;0.81;0.76
20_60;20;60;0.78;0.43;0.66;0.35;0.81;0.81;0.88;0.78;0.77;0.65;0.86;0.81
20_90;20;90;0.92;0.81;0.75;0.55;0.79;0.7;0.96;0.95;0.87;0.78;0.89;0.82
20_120;20;120;0.94;0.91;0.77;0.59;0.79;0.65;0.97;0.97;0.89;0.54;0.91;0.57
40_6;40;6;0.78;0.502;0.64;0.22;0.79;0.41;0.85;0.77;0.75;0.64;0.87;0.84
40_20;40;20;0.72;0.31;0.55;0.2;0.73;0.64;0.81;0.65;0.67;0.49;0.81;0.76
40_60;40;60;0.73;0.34;0.53;0.25;0.7;0.71;0.74;0.54;0.55;0.26;0.7;0.49
40_90;40;90;0.89;0.75;0.66;0.38;0.71;0.52;0.93;0.91;0.79;0.69;0.83;0.76
40_120;40;120;0.92;0.91;0.65;0.47;0.68;0.52;0.96;0.96;0.77;0.57;0.78;0.59
60_6;60;6;0.86;0.55;0.79;0.35;0.91;0.59;0.93;0.86;0.86;0.76;0.91;0.87
60_20;60;20;0.78;0.43;0.65;0.35;0.81;0.81;0.88;0.78;0.77;0.65;0.86;0.81
60_40;60;40;0.73;0.34;0.53;0.25;0.7;0.71;0.74;0.54;0.55;0.26;0.7;0.49
60_90;60;90;0.78;0.69;0.45;0.27;0.53;0.4;0.85;0.81;0.59;0.45;0.64;0.53
60_120;60;120;0.84;0.85;0.39;0.16;0.43;0.2;0.94;0.96;0.58;0.27;0.59;0.29
90_6;90;6;0.96;0.82;0.92;0.72;0.95;0.88;0.98;0.95;0.96;0.91;0.98;0.96
90_20;90;20;0.92;0.81;0.75;0.55;0.79;0.7;0.96;0.95;0.87;0.78;0.9;0.82
90_40;90;40;0.89;0.75;0.66;0.38;0.71;0.52;0.93;0.91;0.79;0.7;0.83;0.76
90_60;90;60;0.78;0.69;0.45;0.27;0.53;0.4;0.85;0.81;0.59;0.45;0.64;0.53
90_120;90;120;0.7;0.68;0.36;0.17;0.41;0.25;0.76;0.76;0.47;0.2;0.52;0.27
120_6;120;6;0.97;0.93;0.93;0.73;0.95;0.77;0.96;0.93;0.92;0.87;0.95;0.94
120_20;120;20;0.94;0.9;0.78;0.62;0.81;0.68;0.95;0.93;0.87;0.7;0.9;0.76
120_40;120;40;0.92;0.9;0.66;0.49;0.69;0.54;0.94;0.93;0.67;0.65;0.7;0.7
120_60;120;60;0.84;0.85;0.4;0.14;0.44;0.18;0.95;0.95;0.6;0.44;0.57;0.47
120_90;120;90;0.69;0.68;0.34;0.14;0.4;0.2;0.73;0.63;0.4;0.14;0.49;0.27